year,woy,dow,registered,total
2015,8,5,2454,2517
2016,8,2,2528,2585
2017,5,3,7762,8231
2016,9,1,7181,7828
2013,11,4,4441,4881
2015,4,4,6114,6424
2015,12,2,7732,9246
2016,12,5,8938,12212
2011,5,3,1452,1524
2015,10,2,3726,3884
2016,10,5,8930,11220
2012,6,0,1456,1529
2014,9,1,5164,5459
2017,12,2,8717,10612
2013,1,0,3204,3790
2017,4,4,7584,8047
2012,9,6,3105,4061
2014,8,2,4885,5154
2017,10,2,7194,8383
2011,8,5,1334,1454
2014,10,5,4858,5114
2017,8,5,9594,12959
2011,10,2,1808,2123
2015,5,3,5028,5131
2011,12,2,2235,2695
2012,2,0,2023,2306
2011,4,4,415,430
2014,12,5,6750,7757
2017,6,0,3637,4723
2011,2,0,953,1204
2012,12,2,5037,6088
2017,9,6,3980,5283
2012,4,4,3817,4060
2012,10,2,3726,3946
2013,13,0,2420,3820
2013,10,3,1057,1136
2012,8,5,3234,3480
2016,7,4,5605,5822
2017,2,0,3912,5348
2011,6,0,1192,1589
2011,9,6,1433,2073
2013,12,3,5331,5887
2012,5,3,4270,4574
2015,2,0,3123,3486
2015,9,6,2880,3294
2015,6,0,5193,6829
2013,5,2,5513,5834
2014,7,4,52,56
2017,13,3,9791,12787
2011,10,0,1434,2413
2011,12,0,1220,1692
2012,1,3,2272,2367
2012,2,2,3419,3592
2016,7,1,477,501
2013,6,3,4736,4915
2016,3,3,4257,4321
2017,12,0,4168,6621
2012,6,2,4164,4363
2013,2,3,4791,5147
2013,1,2,1564,1985
2014,4,6,2199,2293
2011,13,3,1360,1528
2014,8,0,5311,6152
2012,4,1,2284,2429
2017,10,0,3346,4621
2012,7,6,2881,4316
2014,7,1,4355,4482
2015,12,0,5454,8233
2014,3,3,5994,6510
2015,10,0,4175,5529
2016,4,6,2501,2822
2016,8,0,5940,8732
2015,13,3,6864,7553
2017,7,6,5195,10726
2013,3,5,4172,4512
2015,6,2,5156,5162
2016,6,5,4191,4363
2013,11,1,5060,6087
2015,4,1,4069,4687
2013,5,0,2401,2586
2016,9,4,5651,5902
2016,53,6,3400,4922
2011,7,6,1102,1634
2015,2,2,2041,2086
2016,2,5,5477,5983
2012,13,3,5018,5692
2011,4,1,1328,1414
2011,6,2,1460,1524
2017,2,2,5362,5606
2017,1,3,6437,7185
2014,6,5,5227,5447
2011,2,2,1217,1260
2011,1,3,1515,1597
2012,12,0,3461,4993
2017,6,2,8833,9796
2015,7,6,2486,3004
2014,2,5,1780,1861
2014,9,4,4781,4940
2017,4,1,2787,2905
2013,13,2,4980,5627
2012,10,0,3248,4906
2012,3,6,1233,1300
2014,3,1,6187,6919
2016,1,6,4549,5314
2014,7,3,3902,3987
2014,11,5,5915,7035
2011,11,2,1757,2046
2015,13,1,6671,8134
2017,11,2,1472,1583
2012,5,4,3564,3754
2013,4,2,2862,2951
2015,11,2,3634,4015
2016,11,5,8868,11429
2017,13,1,8562,11367
2013,12,4,4233,4541
2012,1,1,1706,1950
2013,10,4,4728,5043
2013,6,1,3824,3946
2014,1,6,2123,2281
2016,3,1,2357,2499
2016,7,3,5856,6097
2013,2,1,4442,4774
2011,13,1,1798,2020
2012,4,3,3792,4259
2012,13,1,4754,5549
2011,4,3,469,503
2014,13,6,2011,2298
2017,1,1,1457,1638
2015,5,4,4584,4679
2011,1,1,1227,1347
2015,3,6,3570,4265
2017,4,3,8231,9024
2017,3,6,4745,8157
2011,5,4,1484,1545
2013,7,5,4675,5358
2013,11,3,5116,5742
2015,4,3,5281,5402
2012,11,2,5072,5833
2017,5,4,7210,7649
2011,3,6,888,981
2014,9,3,3856,3958
2011,1,4,1515,1603
2013,4,0,2769,3032
2015,11,0,4612,6668
2017,1,4,5812,6214
2013,8,6,2364,2575
2015,5,1,2414,2448
2012,13,4,5292,6126
2017,5,1,5226,5420
2017,11,0,3759,5689
2015,1,4,2052,2610
2016,9,3,5708,5918
2011,5,1,1459,1501
2011,11,0,1421,2468
2012,5,1,3489,3615
2012,11,0,3683,5890
2014,5,6,4642,5409
2011,52,6,654,984
2015,13,4,7530,8778
2014,14,1,6876,8268
2014,3,4,5682,6067
2013,9,5,4612,4941
2011,13,4,1494,1673
2016,5,6,4254,5042
2013,2,4,5056,5415
2012,1,4,3129,3269
2013,10,1,4143,4454
2013,6,4,4313,4488
2016,3,4,4157,4228
2017,13,4,8505,10324
2013,12,1,2520,2768
2016,13,1,6945,8430
2017,11,5,6045,7207
2017,3,1,3907,4485
2017,7,3,6974,7485
2015,1,6,1501,1718
2011,7,3,1890,2108
2011,3,1,883,1000
2011,11,5,2344,3227
2014,11,2,7139,8446
2017,1,6,1678,1809
2013,8,4,3960,4147
2014,13,1,4916,5435
2012,13,6,3932,6233
