Week of Year,Day of Week,Registered,Casual,Registerd Pct,Casual Pct
15,1,4879,1921,0.7175,0.2825
15,2,6427,971,0.86874831,0.13125169
15,3,6867,645,0.91413738,0.08586262
15,4,8013,1055,0.883656815,0.116343185
15,5,4943,490,0.909810418,0.090189582
15,6,7878,1651,0.826739427,0.173260573
15,7,3274,795,0.8046203,0.1953797
16,1,4914,2507,0.662174909,0.337825091
16,2,7977,1479,0.843591371,0.156408629
16,3,7657,926,0.892112315,0.107887685
16,4,8979,1152,0.886289606,0.113710394
16,5,9200,1323,0.874275397,0.125724603
16,6,9066,2329,0.795612111,0.204387889
16,7,7536,5969,0.55801555,0.44198445
17,1,7115,5252,0.57532142,0.42467858
17,2,9473,2409,0.797256354,0.202743646
17,3,9965,1962,0.835499287,0.164500713
17,4,9938,1712,0.85304721,0.14695279
17,5,9709,1738,0.848169826,0.151830174
17,6,9025,2068,0.813576129,0.186423871
17,7,5469,3018,0.644397314,0.355602686
18,1,7132,4816,0.596919987,0.403080013
18,2,9398,2296,0.803659997,0.196340003
18,3,9964,1754,0.850315754,0.149684246
18,4,7436,924,0.889473684,0.110526316
18,5,4842,353,0.932050048,0.067949952
18,6,7203,1055,0.872245096,0.127754904
18,7,5666,2845,0.665726707,0.334273293
19,1,3429,947,0.783592322,0.216407678
19,2,6864,1275,0.843346849,0.156653151
19,3,7329,803,0.901254304,0.098745696
19,4,8607,1018,0.894233766,0.105766234
19,5,7833,893,0.897662159,0.102337841
19,6,2933,169,0.94551902,0.05448098
19,7,6346,2879,0.687913279,0.312086721
20,1,6746,4057,0.62445617,0.37554383
20,2,8142,1022,0.888476648,0.111523352
20,3,8931,1311,0.871997657,0.128002343
20,4,7049,620,0.91915504,0.08084496
20,5,9317,1488,0.862285979,0.137714021
20,6,8563,1543,0.847318425,0.152681575
20,7,6027,3362,0.641921397,0.358078603
21,1,5821,2686,0.684260021,0.315739979
21,2,9090,2267,0.800387426,0.199612574
21,3,5081,293,0.945478229,0.054521771
21,4,9421,1162,0.890201266,0.109798734
21,5,9780,1940,0.83447099,0.16552901
21,6,10622,3238,0.766378066,0.233621934
21,7,3373,1059,0.761055957,0.238944043
22,1,2425,426,0.850578744,0.149421256
22,2,6799,1249,0.844806163,0.155193837
22,3,10838,2397,0.818889309,0.181110691
22,4,10566,2220,0.826372595,0.173627405
22,5,10307,1881,0.84566787,0.15433213
22,6,9372,2767,0.772057006,0.227942994
22,7,5714,5846,0.494290657,0.505709343
23,1,4158,4911,0.458484949,0.541515051
23,2,5701,4229,0.574118832,0.425881168
23,3,9533,2045,0.823371912,0.176628088
23,4,10686,1669,0.864912991,0.135087009
23,5,10695,1671,0.864871422,0.135128578
23,6,7069,1448,0.829987085,0.170012915
23,7,7705,4286,0.642565257,0.357434743
24,1,6527,2851,0.695990616,0.304009384
24,2,10413,2055,0.835178056,0.164821944
24,3,11153,2118,0.840403888,0.159596112
24,4,11489,2097,0.845649934,0.154350066
24,5,11206,2217,0.83483573,0.16516427
24,6,10839,2891,0.789439184,0.210560816
24,7,7665,4328,0.639122822,0.360877178
25,1,6870,4153,0.623242312,0.376757688
25,2,10554,2607,0.801914748,0.198085252
25,3,11540,2409,0.827299448,0.172700552
25,4,10677,2277,0.824224178,0.175775822
25,5,9278,1778,0.839182344,0.160817656
25,6,10464,2826,0.787358916,0.212641084
25,7,7727,5823,0.570258303,0.429741697
26,1,7051,4779,0.59602705,0.40397295
26,2,10094,2818,0.781753408,0.218246592
26,3,7841,1672,0.824240513,0.175759487
26,4,11026,2876,0.793123292,0.206876708
26,5,7837,1598,0.830630631,0.169369369
26,6,9788,2617,0.789036679,0.210963321
26,7,7742,5858,0.569264706,0.430735294
