Week of Year,Day of Week,Registered,Casual,Registerd Pct,Casual Pct
28,1,5277,7759,0.404802087,0.595197913
28,2,3892,3708,0.512105263,0.487894737
28,3,8863,3107,0.740434419,0.259565581
28,4,9917,2531,0.796674165,0.203325835
28,5,9948,2270,0.814208545,0.185791455
28,6,9272,2309,0.800621708,0.199378292
28,7,7380,4818,0.605017216,0.394982784
29,1,7300,4681,0.609298055,0.390701945
29,2,9959,2751,0.783556255,0.216443745
29,3,10625,2543,0.806880316,0.193119684
29,4,10209,2311,0.815415335,0.184584665
29,5,9653,2433,0.798692702,0.201307298
29,6,9502,3111,0.753349719,0.246650281
29,7,6478,7359,0.468165065,0.531834935
30,1,6897,8629,0.444222594,0.555777406
30,2,7504,2225,0.771302292,0.228697708
30,3,9942,2383,0.806653144,0.193346856
30,4,10731,2569,0.806842105,0.193157895
30,5,10334,2528,0.803452029,0.196547971
30,6,9072,3033,0.749442379,0.250557621
30,7,6094,4167,0.59389923,0.40610077
31,1,5629,3986,0.585439418,0.414560582
31,2,8073,2202,0.785693431,0.214306569
31,3,9043,2107,0.81103139,0.18896861
31,4,9503,2061,0.821774473,0.178225527
31,5,7551,1813,0.80638616,0.19361384
31,6,9088,3060,0.748106684,0.251893316
31,7,5225,3705,0.585106383,0.414893617
32,1,6443,4395,0.594482377,0.405517623
32,2,9236,2712,0.773016404,0.226983596
32,3,10600,2769,0.792879049,0.207120951
32,4,10678,2909,0.785898285,0.214101715
32,5,10398,3157,0.767097012,0.232902988
32,6,9724,3462,0.737448809,0.262551191
32,7,6446,4894,0.568430335,0.431569665
33,1,6840,5122,0.571810734,0.428189266
33,2,9218,2708,0.772933087,0.227066913
33,3,9862,2562,0.79378622,0.20621378
33,4,9866,2392,0.804862131,0.195137869
33,5,8970,2496,0.782312925,0.217687075
33,6,8226,2627,0.757947111,0.242052889
33,7,5317,3400,0.609957554,0.390042446
34,1,4976,2732,0.645563051,0.354436949
34,2,7474,1766,0.808874459,0.191125541
34,3,9257,2059,0.818045246,0.181954754
34,4,9011,1977,0.820076447,0.179923553
34,5,9441,2380,0.798663396,0.201336604
34,6,9246,2669,0.775996643,0.224003357
34,7,6659,4875,0.57733657,0.42266343
35,1,4586,2666,0.632377275,0.367622725
35,2,9685,2664,0.78427403,0.21572597
35,3,10609,2433,0.813448858,0.186551142
35,4,10398,2355,0.815337568,0.184662432
35,5,10097,2427,0.806212073,0.193787927
35,6,8909,2387,0.788686261,0.211313739
35,7,6750,4447,0.602840046,0.397159954
